name,location,length,gain,highpoint,rating,description
Hidden Lake Lookout,North Cascades -- North Cascades Highway - Hwy 20,"8.0 miles, roundtrip",3300,6900.0,4.59,"The Hidden Lake trail is one of the crown jewels of hiking in Washington State. No other trail offers so much as Hidden Lake Lookout: forest, wildflowers, a true alpine environment of stark granite well above treeline, breathtaking summit views of the heart of North Cascades National Park, and a fire lookout with a sweeping history almost as big as the mountainous landscape it gazes over."
Heather Park,Olympic Peninsula -- Northern Coast,"10.0 miles, roundtrip",3940,5740.0,3.62,"Climb a steep ridge high on the shoulder of Mount Angeles to a prominent pin-nacle known as First Top. Enjoy a first-rate panorama that reaches from snowy Mount Olympus all the way to salty Pillar Point on the Strait of Juan de Fuca. And gracing this heavenly haven on the mountain of angels are delightful rock gardens and fields of blooming heather. Divine, yes, but it’s a devil of a climb."
Grace Cole Nature Park,Puget Sound and Islands -- Seattle-Tacoma Area,"0.5 miles, roundtrip",120,360.0,3.00,"Grace Cole Nature Park, located in the community of Lake Forest Park, is a real gem. It occupies only 15 acres, but offers a close-up view of ponds and wetlands at the head of Brookside Creek, plus a half mile of trails that climb up 120 feet to loop over a forested hill. In season enjoy wildflowers, fall colors, and wildlife sightings."
Lost Creek Ridge,North Cascades -- Mountain Loop Highway,"14.0 miles, one-way",5000,5700.0,4.57,A rugged trail that offers stunning views and access to several beautiful backcountry lakes.
Umtanum Creek Canyon,Central Washington -- Yakima,"6.5 miles, roundtrip",500,1800.0,3.56,"Take a pleasant hike up a spectacular canyon with towering basalt formations, a rushing creek, and a chance to see bighorn sheep. Whether you go in spring or fall, the canyon is filled with brilliant color."
Umtanum Ridge Crest,Central Washington -- Yakima,"6.0 miles, roundtrip",2400,3480.0,3.83,"Get a workout on this steep hike from Umtanum Creek to the ridge above the canyon. In spring, it is filled with wildflowers and birds, with chances of seeing rattlesnakes and bighorn sheep."
Umtanum Creek Falls,Central Washington -- Yakima,"3.0 miles, roundtrip",700,2000.0,3.64,"Hike downhill, enjoy spring blooms and throw rocks into a punchbowl at the bottom of a 40-foot waterfall."
Mount St. Helens - Worm Flows Route,South Cascades -- Mount St. Helens,"12.0 miles, roundtrip",5699,8364.0,4.58,"The Worm Flows Climbing Route, from Marble Mountain Snow-Park, is the most direct route to the summit of Mount St. Helens during the winter season. Ice axe, crampons, and avalanche awareness are recommended on this route. Skis with climbing skins or snow shoes with cleats are also highly recommended."
Seahurst Park,Puget Sound and Islands -- Seattle-Tacoma Area,"3.5 miles, roundtrip",400,398.0,4.50,"Hike good trails though a forested drainage in Burien that has many tall trees and, in season, is very green. In spring look for a few wildflowers. Continue your hike on trails paralleling the beach, both north and south of your trailhead."
Kelcema Lake,North Cascades -- Mountain Loop Highway,"1.2 miles, roundtrip",29,3040.0,4.12,This short hike to a lake in the Boulder River Wilderness is a great trail for families.
Thorp Mountain Lookout via Thorp Creek,Snoqualmie Region -- Salmon La Sac/Teanaway,"7.4 miles, roundtrip",2484,5884.0,4.11,"It’s possible to reach the lookout on top of Thorp Mountain four different ways. But this route offers a nice detour to a little lake, where you can have a snack and size up your objective before continuing on your way."
Summit Lake,Mount Rainier Area -- NW - Carbon River/Mowich,"6.1 miles, roundtrip",1300,5800.0,4.45,"This popular summer trail offers wildflower-filled meadows, a glistening alpine lake, big mountain views and wildlife sighting aplenty."
Headlee Pass and Vesper Lake,North Cascades -- Mountain Loop Highway,"7.0 miles, roundtrip",2700,4950.0,3.90,"Vesper Lake is squeezed, like a thumbprint in clay, deep in the saddle between the twin summits of Sperry Peak and Vesper Peak. Rarely is a lake situated so close and steeply below two summits like this–its unique setting gives you remarkably up-close (and straight-up) views of mountainous terrain. And all that comes after the former mining trail that provides incredible scenery along the way."
Columbia National Wildlife Refuge  - Crab Creek,Central Washington -- Tri-Cities,"2.6 miles, roundtrip",40,870.0,3.20,Explore the desert of eastern Washington at this National Wildlife Refuge.
Tradition Lake Loop,Issaquah Alps -- Tiger Mountain,"2.9 miles, roundtrip",150,540.0,3.81,"Hike a series of short, nearly level trails that offer views of two lakes and of some swampy areas, and pass one of the largest trees in the Tigers. Appreciate the forest vegetation and wildflowers. Along the way, hear and perhaps see a variety of song birds and waterfowl."
Vesper Peak,North Cascades -- Mountain Loop Highway,"8.0 miles, roundtrip",4000,6214.0,4.48,"Vesper Peak is definitely not for the novice hiker, but for those thirsting for one step beyond hiking into backcountry adventure, it's a good leaping off point. The smooth, low angle granite of Vesper's upper reaches make for relatively easy off-trail travel and beginning routefinding."
Rain Shadow Loop,Olympic Peninsula -- Northern Coast,"0.5 miles, roundtrip",170,6007.0,4.40,"A short half-mile hike, the Rain Shadow Loop takes you to the top of Blue Mountain. Views of the Cascades, Vancouver Island and the Strait of Juan De Fuca, Gray Wolf Ridge, and so much more await you here."
Deadfall,Olympic Peninsula -- Hood Canal,"7.6 miles, roundtrip",2240,4273.0,3.12,"A longer, steeper, pass free, alternate route to the summit of Mount Zion."
Snow Creek,Olympic Peninsula -- Hood Canal,"4.8 miles, roundtrip",1944,4274.0,3.00,"One of three ways to reach the summit of Mount Zion. It's steep, but short, and you'll be rewarded with view of the Olympics at the top."
Little Si,Snoqualmie Region -- North Bend Area,"3.7 miles, roundtrip",1300,1550.0,3.58,"Companion piece to neighbor and big brother Mount Si, the small rocky bluff known as Little Si is a moderate grade 4.7 mile trail located in the hike rich North Bend area. Although relatively steep inclines bookend this hike, this primarily North/South route is perfect for beginners who are looking to get back in shape, while still accommodating veterans with opportunities to cut away on the Boulder Garden Loop (at .3 miles and .5 miles) to merge with the more challenging Mount Si trail. Expect crowds, even in winter, as New Year’s resolutions (the two Si mountains are sometimes colloquially referred to as the “Resolution Peaks” for the deluge of hikers that appear after January 1st), proximity to the city and a degree of refuge from the elements often divert heavy foot traffic to this mini-mountain to keep it busy year round."
Wallace Falls - Lake Loop,Central Cascades -- Stevens Pass - West,"9.0 miles, roundtrip",1544,1844.0,3.50,"This fine loop trail gives you scenery, mileage, and some elevation gain, with the bonus of being hikeable year-round. Start by wandering along the Wallace River as it tumbles down from the famous falls. Get your pictures of the falls, then continue your hike by including the large forested Wallace Lake. Return through a green shag carpet of moss, sword ferns and hemlock, following the North Fork Wallace River as it rushes to meet the main Wallace River and your return trail."
Naches Peak Loop,Mount Rainier Area -- SE - Cayuse Pass/Stevens Canyon,"3.2 miles, roundtrip",600,5850.0,4.53,"This popular hike provides a range of alpine experiences in a short loop. Walk along a hillside above a small valley, pause at a viewpoint overlooking a lake, and stroll through grassy meadows with stunning views of Mount Rainier. In season enjoy an abundance of wildflowers or perhaps a handful of huckleberries."
Deadhorse Creek,Mount Rainier Area -- SW - Longmire/Paradise,"3.25 miles, roundtrip",800,5820.0,4.33,
Van Trump Park,Mount Rainier Area -- SW - Longmire/Paradise,"6.0 miles, roundtrip",2150,5850.0,4.36,"Follow tumbling, churning, Van Trump Creek upstream past spectacular Bloucher Falls and Comet Falls, to an alpine meadow featuring views of Mount Rainier and easy wandering. For an added treat, hike two extra miles for a stunning view of the barren Kautz Creek valley from Mildred Point."
Big Creek,Olympic Peninsula -- Hood Canal,"4.3 miles, roundtrip",850,1850.0,3.97,This low-key loop in the shadow of Mount Ellinor makes for a great respite on a hot summer day or a low-country winter ramble when it's rainy.
Kautz Creek to Indian Henry's Hunting Ground,Mount Rainier Area -- SW - Longmire/Paradise,"11.0 miles, roundtrip",3800,5335.0,3.58,"While the hunting grounds here hold their fair share of human history, the Kautz Creek drainage that hold the trail leading to the hunting grounds has an even more extensive background -- one that's eons old, rather than generations. Witness the way volcanic activity has affected this area and appreciate the awesome power of Rainier up close."
Palisades,Mount Rainier Area -- Chinook Pass - Hwy 410,"15.9 miles, roundtrip",2680,5300.0,4.14,"This trail has it all, from beautiful forests, beautiful waterfalls, good climbing and fun descents to technical sections with views of Mount Rainier from cliffs that will inspire you."
Riser Lake Loop,North Cascades -- Methow/Sawtooth,"3.75 miles, roundtrip",403,2603.0,0.00,Here's a short snowshoe or simply a wintery hike you can do just outside of Winthrop. Enjoy the shrub-steppe and the views of the hills surrounding the Methow Valley.
Tyee Lookout,Central Cascades -- Entiat Mountains/Lake Chelan,"8.5 miles, roundtrip",2160,6640.0,4.00,"It is possible to drive all the way to the top of Tyee Ridge for majestic views of the land below. But the last 4 miles of the road to the top is extremely rough, so visitors can make that section a short hike with fabulous views."
Slate Creek Trail,Eastern Washington -- Spokane Area/Coeur d'Alene,"15.0 miles, roundtrip",2400,5702.0,0.00,"This hike is across the Washington border in Idaho, but provides a lovely outing near the historic town of Wallace."
Mount Teneriffe,Snoqualmie Region -- North Bend Area,"13.0 miles, roundtrip",3800,4585.0,3.72,"Mountains to Sound Greenway did this road to trail conversion in order to create a more sustainable, safer route for hikers to a summit on the I-90 corridor. Hike through second- and third-growth forest, pass a lovely waterfall, and enjoy a slightly less-crowded trail than the nearby Mount Si."
Steliko Lookout,Central Cascades -- Entiat Mountains/Lake Chelan,"3.4 miles, roundtrip",1500,2586.0,2.75,"A lookout accessible via a steep Forest Service road. Drive to it in the summer, or get a big workout climbing to it in the winter."
Little Quilcene River,Olympic Peninsula -- Hood Canal,"6.8 miles, roundtrip",2180,6200.0,4.00,"Take this lung-busting trail up the north side of Mount Townsend, through coniferous forests offering cameo views to the Strait of Juan de Fuca to the north, opening onto views of the Dungeness and Graywolf watersheds to the west."
Middle Tie Trail,Eastern Washington -- Palouse and Blue Mountains,"1.6 miles, one-way",1200,5400.0,0.00,"Start out from the Touchet Corral Sno-park in the Umatilla National Forest. The first section is on singletrack trail, but the way quickly transitions to an old roadbed and stays like this until it ends at the intersection with Kendall Skyline Road."
